ID_Registro,ID_Condominio,Tipo_Registro,ID_Morador,Nome_Morador,Unidade,Descricao,Data_Criacao,Data_Resolucao,Tempo_Resolucao_Horas,Custo_Estimado,Tipo_Manutencao
1,83428d4e-6dc2-4efc-b4d7-143589f87946,Ocorrencia,bd8e1593-8935-47f5-b003-74507d2f05b2,Luna Sousa,155.0,Aluguel De Churrasqueira,2023-03-31 11:48:29,2023-03-31 16:23:41.742147,4.59,,
2,da70bd4a-50ac-486b-84b1-5e9b6e3f4c39,Ocorrencia,d4508d96-e31c-4166-92e0-9053a99409ce,Dra. Mirella Cavalcante,42.0,Sugestao Melhoria,2025-06-11 15:58:58,2025-06-13 02:44:22.513127,34.76,,
3,502ac7fb-6345-4dbb-9d66-1a38e090ad43,Manutencao,,,,Manutencao preventiva em área comum,,,,3850.69,Preventiva
4,a2087ae3-59ff-4a62-83fd-0d8cdab8b131,Manutencao,,,,Manutencao preventiva em área comum,,,,5020.67,Preventiva
5,f0b62a3b-49ea-4fd6-882b-150134824b98,Manutencao,,,,Manutencao preventiva em área comum,,,,2512.68,Preventiva
6,226d6104-ab27-4745-a0b8-dac97ca6a4a0,Manutencao,,,,Manutencao preventiva em área comum,,,,2387.56,Preventiva
7,ca70cd5c-98e5-420b-817e-0d9154f63967,Ocorrencia,ecb666a8-c84f-4aeb-aed8-019fe9907297,Letícia Moraes,12.0,Pedido Reparo Area Comum,2024-09-15 07:09:10,2024-09-18 03:05:17.887276,67.94,,
8,7a21daf7-fd38-471c-a514-336ebcd8d394,Ocorrencia,32d75d23-5558-48b1-860f-e1699777aec3,Srta. Nicole Ribeiro,101.0,Aluguel De Churrasqueira,2025-04-21 11:56:02,2025-04-21 19:11:05.922282,7.25,,
9,837a214a-f24e-46f2-856f-9331ff876072,Manutencao,,,,Manutencao preventiva em área comum,,,,5926.05,Preventiva
10,83428d4e-6dc2-4efc-b4d7-143589f87946,Manutencao,,,,Manutencao preventiva em área comum,,,,5939.92,Preventiva
11,83428d4e-6dc2-4efc-b4d7-143589f87946,Manutencao,,,,Manutencao preventiva em área comum,,,,9691.38,Preventiva
12,0567bae3-1cdc-430c-be11-50e095cb9432,Manutencao,,,,Manutencao preventiva em área comum,,,,2932.05,Preventiva
13,0567bae3-1cdc-430c-be11-50e095cb9432,Ocorrencia,ab678a8a-dc9e-4ff0-a24a-bbe0e6391b36,Sofia Rodrigues,169.0,Problema Vazamento,2024-12-14 09:18:08,2024-12-15 01:38:28.269513,16.34,,
14,86fc046d-8195-4a8b-9cd2-8d850f101f63,Manutencao,,,,Manutencao preventiva em área comum,,,,5346.02,Preventiva
15,8c304bf1-67fc-4c63-b8ca-60329d25df09,Ocorrencia,c1972d99-b735-4e1c-9375-ba5ed4bc12de,Heloísa Fogaça,111.0,Aluguel De Salão De Festas,2023-05-03 03:47:21,2023-05-03 15:26:05.038556,11.65,,
16,83428d4e-6dc2-4efc-b4d7-143589f87946,Manutencao,,,,Manutencao preventiva em área comum,,,,1759.14,Preventiva
17,6e726857-07dc-453a-a8fc-4ab9031612b1,Manutencao,,,,Manutencao corretiva em área comum,,,,729.33,Corretiva
18,837a214a-f24e-46f2-856f-9331ff876072,Manutencao,,,,Manutencao preventiva em área comum,,,,7708.49,Preventiva
19,a6351593-4a2a-4d70-9384-39029662dcc9,Manutencao,,,,Manutencao preventiva em área comum,,,,5668.41,Preventiva
20,ca70cd5c-98e5-420b-817e-0d9154f63967,Manutencao,,,,Manutencao preventiva em área comum,,,,860.77,Preventiva
21,d3447539-8dbf-4bc5-8d9b-46012374ae1c,Manutencao,,,,Manutencao preventiva em área comum,,,,4345.24,Preventiva
22,8c304bf1-67fc-4c63-b8ca-60329d25df09,Ocorrencia,fb30dc4c-684b-4123-ba0c-1042c59aacf2,Sra. Raquel das Neves,1.0,Outros,2024-09-18 17:41:19,2024-09-18 18:59:36.507801,1.3,,
